pd_decile,loans,funded,mean_pd,default_rate,expected_loss,realized_loss,expected_profit,realized_profit
1,28279,431863275.0,0.031149166,0.030163725732875984,6901577.638388687,5917933.23859999,3296195.702860651,3002399.4823301947
2,28279,402963525.0,0.05525299,0.05937267937338661,11427119.103904767,11351143.81429997,5458401.087989824,4058899.6377829905
3,28278,377633125.0,0.073468596,0.07850625928283471,14254316.871995386,14378589.432399634,6060548.552774741,4218134.136634297
4,28279,362885675.0,0.09096638,0.09809399200820397,16970704.19524312,17615752.819900017,6507225.048600277,3681297.289105194
5,28279,349708675.0,0.1093162,0.12458007708900598,19652554.169476777,21981634.145299926,6303255.659133531,1899337.4972526375
6,28278,342208950.0,0.12947999,0.14870217129924324,22784797.108593304,25508172.52619983,5532277.932702723,373483.9491049901
7,28279,337082575.0,0.15308896,0.17670356094628523,26541494.6441086,31276570.18980057,4284289.150946877,-3075617.8356820224
8,28278,331708325.0,0.18294048,0.20089822476837116,31211530.393962003,35431816.593599014,1859016.180844677,-5150388.553485844
9,28279,332043500.0,0.22542086,0.2448459987976944,38501803.67510412,43988491.07299953,-2183487.2114539733,-9819138.17756596
10,28279,352538050.0,0.32131204,0.32649669365960604,58844332.9091005,66301829.409499176,-16272084.230233211,-25088615.05642587
